date,direction,prev_high,prev_low,hit,hit_time_et,hit_session,minutes_from_open,overshoot_points,overshoot_pct,opposite_hit,day_range_pct,atr_14_pct,range_vs_atr,inside_bar
2020-09-24,SHORT,11222.0,10725.0,True,2020-09-24 01:01:00,OTHER,421.0,64.75,13.03,False,3.2147,3.084,1.0424,False
2020-10-29,SHORT,11566.75,11123.75,False,,,,,,False,2.7914,2.1129,1.3211,True
2021-03-03,SHORT,13303.0,13048.25,True,2021-03-03 08:33:00,OTHER,873.0,537.0,210.79,False,5.4151,2.6962,2.0084,False
2021-03-04,SHORT,13192.0,12511.25,True,2021-03-04 10:20:00,NYAM,980.0,206.75,30.37,False,3.9725,2.8987,1.3704,False
2021-03-25,SHORT,13145.25,12752.0,True,2021-03-25 07:52:00,OTHER,832.0,142.25,36.17,False,1.9472,2.0754,0.9382,False
2021-05-11,SHORT,13735.0,13170.0,True,2021-05-11 03:32:00,LONDON,572.0,104.75,18.54,False,2.3462,1.6944,1.3847,False
2021-05-13,SHORT,13338.0,12959.75,True,2021-05-13 03:51:00,LONDON,591.0,44.75,11.83,False,2.3426,1.9049,1.2297,False
2021-05-19,SHORT,13432.25,13137.5,True,2021-05-19 00:46:00,OTHER,406.0,183.25,62.17,False,2.1852,2.1013,1.0399,False
2021-08-19,SHORT,15037.25,14806.5,True,2021-08-19 02:04:00,LONDON,484.0,96.0,41.6,False,1.9334,0.993,1.947,False
2021-09-19,SHORT,15528.25,15276.25,True,2021-09-19 22:16:00,ASIA,1696.0,71.0,28.17,False,0.8728,0.9565,0.9124,False
2022-01-06,SHORT,16259.25,15620.25,True,2022-01-06 10:07:00,NYAM,967.0,21.75,3.4,False,1.8828,1.6676,1.129,False
2022-01-09,SHORT,15827.75,15510.0,False,,,,,,False,0.828,1.5699,0.5274,True
2022-01-14,SHORT,15979.75,15414.0,True,2022-01-14 07:39:00,OTHER,819.0,101.5,17.94,False,1.9754,2.0653,0.9565,False
2022-01-19,SHORT,15460.0,15062.0,True,2022-01-19 00:00:00,OTHER,360.0,68.25,17.15,False,2.5027,2.3484,1.0657,False
2022-01-21,SHORT,15340.25,14602.25,True,2022-01-21 10:12:00,NYAM,972.0,193.75,26.25,False,3.1226,2.5246,1.2369,False
2022-02-18,SHORT,14584.25,14128.75,True,2022-02-18 09:35:00,NYAM,935.0,222.5,48.85,False,2.7262,2.5511,1.0686,False
2022-02-20,SHORT,14287.75,13906.25,True,2022-02-20 18:01:00,OTHER,1441.0,96.5,25.29,False,1.9633,2.4695,0.795,False
2022-02-22,SHORT,14157.5,13580.25,False,,,,,,False,3.5406,2.7359,1.2941,True
2022-02-24,SHORT,14068.75,13104.0,True,2022-02-24 02:05:00,LONDON,485.0,78.25,8.11,False,6.9029,3.4127,2.0227,False
2022-03-11,SHORT,13722.25,13396.25,True,2022-03-11 15:12:00,OTHER,1272.0,114.5,35.12,False,4.3528,3.811,1.1422,False
2022-03-15,SHORT,13441.5,13015.5,True,2022-03-15 03:11:00,LONDON,551.0,73.0,17.14,False,4.0439,3.341,1.2104,False
2022-04-11,SHORT,14382.0,14196.5,True,2022-04-11 03:15:00,LONDON,555.0,285.25,153.77,False,2.8333,2.0766,1.3644,False
2022-04-12,SHORT,14305.75,13911.25,True,2022-04-12 00:28:00,OTHER,388.0,30.0,7.6,False,2.8704,2.2146,1.2961,False
2022-04-17,SHORT,14296.25,13876.5,True,2022-04-17 18:00:00,OTHER,1440.0,147.0,35.02,False,1.2657,2.2924,0.5521,False
2022-04-18,SHORT,13903.75,13729.5,False,,,,,,True,1.9385,2.2279,0.8701,False
2022-09-01,SHORT,12513.0,12123.5,True,2022-09-01 02:25:00,LONDON,505.0,105.75,27.15,False,2.4659,2.2103,1.1156,False
2022-09-07,SHORT,12244.5,11921.5,False,,,,,,True,2.91,2.3659,1.23,False
2022-11-10,SHORT,11154.5,10822.25,True,2022-11-10 08:30:00,OTHER,870.0,14.25,4.29,False,7.5245,3.1788,2.3671,False
2022-12-28,SHORT,11177.0,10891.5,True,2022-12-28 09:30:00,NYAM,930.0,132.75,46.5,False,2.2006,2.6999,0.8151,False
2022-12-29,SHORT,10996.5,10758.75,False,,,,,,True,2.5268,2.704,0.9345,False
2023-02-17,SHORT,12784.0,12401.5,True,2023-02-17 00:20:00,OTHER,380.0,135.75,35.49,False,1.2758,2.1334,0.598,False
2023-02-21,SHORT,12417.75,12333.75,True,2023-02-21 02:08:00,LONDON,488.0,243.5,289.88,False,2.2282,1.9305,1.1542,False
2023-02-22,SHORT,12360.5,12090.25,True,2023-02-22 03:31:00,LONDON,571.0,56.25,20.81,False,1.4644,1.9334,0.7574,False
2023-02-26,SHORT,12187.5,11923.0,False,,,,,,False,0.4738,1.6867,0.2809,True
2023-03-02,SHORT,12141.75,11854.25,True,2023-03-02 02:33:00,LONDON,513.0,21.75,7.57,False,2.1919,1.7059,1.2849,False
2023-07-10,SHORT,15198.5,15120.25,True,2023-07-10 01:36:00,OTHER,456.0,57.0,72.84,False,1.02,1.0408,0.98,False
2023-08-13,SHORT,15241.75,15037.25,True,2023-08-13 23:52:00,ASIA,1792.0,16.5,8.07,False,0.8521,1.4154,0.6021,False
2023-08-16,SHORT,15330.5,15074.75,True,2023-08-16 08:54:00,OTHER,894.0,187.25,73.22,False,1.8633,1.5444,1.2065,False
2023-08-17,SHORT,15166.0,14887.5,True,2023-08-17 10:25:00,NYAM,985.0,156.0,56.01,False,1.9426,1.6104,1.2063,False
2023-08-18,SHORT,15018.25,14731.5,True,2023-08-18 03:42:00,LONDON,582.0,122.25,42.63,False,1.3124,1.5522,0.8455,False
2023-09-07,SHORT,15517.75,15310.5,True,2023-09-07 03:28:00,LONDON,568.0,153.0,73.82,False,1.5045,1.5088,0.9971,False
2023-09-21,SHORT,15436.25,15080.0,True,2023-09-21 01:29:00,OTHER,449.0,243.75,68.42,False,1.8512,1.4335,1.2914,False
2023-09-22,SHORT,15112.0,14836.25,False,,,,,,False,1.1764,1.4199,0.8285,True
2023-09-27,SHORT,14893.0,14666.25,True,2023-09-27 12:02:00,LUNCH,1082.0,80.25,35.39,False,1.5977,1.3778,1.1596,False
2023-10-26,SHORT,14792.0,14302.25,True,2023-10-26 02:01:00,LONDON,481.0,162.0,33.08,False,2.228,1.794,1.2419,False
2023-12-11,SHORT,16114.5,16050.0,True,2023-12-11 00:26:00,OTHER,386.0,4.5,6.98,False,1.3919,1.1405,1.2205,False
2024-01-16,SHORT,17024.25,16881.75,True,2024-01-16 00:56:00,OTHER,416.0,70.0,49.12,False,1.3119,1.2099,1.0843,False
2024-02-20,SHORT,17807.5,17667.25,True,2024-02-20 03:21:00,LONDON,561.0,214.75,153.12,False,1.5509,1.1517,1.3466,False
2024-02-21,SHORT,17724.75,17452.5,True,2024-02-21 09:47:00,NYAM,947.0,79.75,29.29,False,2.4118,1.2315,1.9584,False
2024-04-02,SHORT,18607.0,18414.5,True,2024-04-02 07:21:00,OTHER,801.0,213.0,110.65,False,1.6903,0.9972,1.6951,False
2024-04-03,SHORT,18511.0,18201.5,False,,,,,,False,1.3683,1.0621,1.2883,True
2024-04-05,SHORT,18568.0,18053.25,True,2024-04-05 08:30:00,OTHER,870.0,1.75,0.34,False,1.9483,1.2175,1.6003,False
2024-04-11,SHORT,18474.25,18053.5,False,,,,,,True,2.3298,1.3814,1.6865,False
2024-04-14,SHORT,18507.75,18120.25,False,,,,,,False,0.5938,1.4491,0.4098,True
2024-04-15,SHORT,18255.0,18146.75,True,2024-04-15 12:24:00,LUNCH,1104.0,351.0,324.25,False,3.1099,1.6659,1.8668,False
2024-04-16,SHORT,18350.75,17795.75,True,2024-04-16 06:25:00,OTHER,745.0,3.75,0.68,False,1.0932,1.6777,0.6516,False
2024-04-18,SHORT,17968.5,17615.25,True,2024-04-18 09:35:00,NYAM,935.0,433.5,122.72,False,3.3972,1.9163,1.7728,False
2024-04-19,SHORT,17770.75,17181.75,True,2024-04-19 14:38:00,PM,1238.0,68.5,11.63,False,2.5612,2.012,1.273,False
2024-04-25,SHORT,17795.5,17437.5,True,2024-04-25 01:13:00,OTHER,433.0,129.25,36.1,False,2.9221,2.0817,1.4037,False
2024-04-26,SHORT,17827.5,17308.25,False,,,,,,True,1.3077,1.9988,0.6542,False
2024-04-29,SHORT,17913.0,17853.25,True,2024-04-29 09:42:00,NYAM,942.0,62.0,103.77,False,0.8807,1.7575,0.5011,False
2024-05-01,SHORT,17911.75,17453.75,True,2024-05-01 05:08:00,OTHER,668.0,54.5,11.9,False,2.2451,1.8706,1.2002,False
2024-07-25,SHORT,19801.0,19168.75,True,2024-07-25 02:08:00,LONDON,488.0,285.5,45.16,False,2.6595,1.8762,1.4175,False
2024-07-26,SHORT,19390.5,18883.25,False,,,,,,False,1.3428,1.88,0.7143,True
2024-07-30,SHORT,19377.25,19076.0,True,2024-07-30 11:01:00,OTHER,1021.0,351.0,116.51,False,3.1083,1.8705,1.6617,False
2024-08-29,SHORT,19691.0,19140.25,False,,,,,,True,2.1565,1.6236,1.3282,False
2024-09-04,SHORT,19644.75,18825.75,False,,,,,,False,1.5049,1.6891,0.8909,True
2024-09-08,SHORT,18972.25,18339.75,False,,,,,,False,0.8415,1.8285,0.4602,True
2024-12-02,SHORT,21004.0,20941.75,True,2024-12-02 01:35:00,OTHER,455.0,1.75,2.81,False,1.5065,1.1558,1.3034,False
2025-02-25,SHORT,21813.0,21366.5,True,2025-02-25 02:29:00,LONDON,509.0,376.5,84.32,False,2.1727,1.3066,1.6629,False
2025-02-28,SHORT,21386.5,20515.5,True,2025-02-28 09:31:00,NYAM,931.0,55.0,6.31,False,2.3136,1.6286,1.4206,False
2025-03-04,SHORT,21121.0,20316.75,True,2025-03-04 07:28:00,OTHER,808.0,241.5,30.03,False,3.2002,2.0063,1.5951,False
2025-03-07,SHORT,20647.5,20003.0,True,2025-03-07 10:31:00,NYAM,991.0,237.5,36.85,False,2.577,2.4588,1.0481,False
2025-03-11,SHORT,20152.5,19139.25,False,,,,,,False,2.4973,2.8373,0.8802,True
2025-04-04,SHORT,19177.0,18520.0,True,2025-04-04 00:38:00,OTHER,398.0,1132.5,172.37,False,7.3685,2.9454,2.5017,False
2025-04-06,SHORT,18675.75,17387.5,True,2025-04-06 18:00:00,OTHER,1440.0,927.5,72.0,False,3.8073,3.341,1.1396,False
2025-08-25,SHORT,23607.5,23520.5,True,2025-08-25 02:59:00,LONDON,539.0,149.0,171.26,False,1.0437,1.083,0.9637,False
2025-08-26,SHORT,23616.25,23371.5,False,,,,,,True,0.9052,1.1185,0.8093,False
2025-10-01,SHORT,24913.75,24722.25,True,2025-10-01 02:45:00,LONDON,525.0,89.0,46.48,False,1.7685,1.0113,1.7486,False
2025-11-21,SHORT,25310.0,24018.0,True,2025-11-21 05:00:00,OTHER,660.0,113.5,8.78,False,2.841,2.385,1.1912,False
